key,value,date
multidisciplinary open access archive,0,10/01/11
multidisciplinary open access archive,0,11/01/11
multidisciplinary open access archive,3,12/01/11
multidisciplinary open access archive,0,1/01/12
multidisciplinary open access archive,0,2/01/12
multidisciplinary open access archive,0,3/01/12
multidisciplinary open access archive,1,4/01/12
multidisciplinary open access archive,0,5/01/12
multidisciplinary open access archive,0,6/01/12
multidisciplinary open access archive,0,7/01/12
multidisciplinary open access archive,0,8/01/12
multidisciplinary open access archive,0,9/01/12
multidisciplinary open access archive,1,10/01/12
multidisciplinary open access archive,1,11/01/12
multidisciplinary open access archive,6,12/01/12
multidisciplinary open access archive,1,1/01/13
multidisciplinary open access archive,0,2/01/13
multidisciplinary open access archive,0,3/01/13
multidisciplinary open access archive,0,4/01/13
multidisciplinary open access archive,0,5/01/13
multidisciplinary open access archive,0,6/01/13
multidisciplinary open access archive,0,7/01/13
multidisciplinary open access archive,0,8/01/13
multidisciplinary open access archive,0,9/01/13
multidisciplinary open access archive,0,10/01/13
multidisciplinary open access archive,0,11/01/13
multidisciplinary open access archive,2,12/01/13
multidisciplinary open access archive,1,1/01/14
multidisciplinary open access archive,0,2/01/14
multidisciplinary open access archive,0,3/01/14
multidisciplinary open access archive,0,4/01/14
multidisciplinary open access archive,0,5/01/14
multidisciplinary open access archive,0,6/01/14
multidisciplinary open access archive,0,7/01/14
multidisciplinary open access archive,1,8/01/14
multidisciplinary open access archive,0,9/01/14
multidisciplinary open access archive,0,10/01/14
multidisciplinary open access archive,0,11/01/14
multidisciplinary open access archive,4,12/01/14
multidisciplinary open access archive,2,1/01/15
multidisciplinary open access archive,0,2/01/15
multidisciplinary open access archive,0,3/01/15
multidisciplinary open access archive,1,4/01/15
multidisciplinary open access archive,0,5/01/15
multidisciplinary open access archive,1,6/01/15
multidisciplinary open access archive,1,7/01/15
multidisciplinary open access archive,1,8/01/15
multidisciplinary open access archive,0,9/01/15
multidisciplinary open access archive,0,10/01/15
multidisciplinary open access archive,0,11/01/15
multidisciplinary open access archive,9,12/01/15
multidisciplinary open access archive,0,1/01/16
multidisciplinary open access archive,1,2/01/16
archive ouverte pluridisciplinaire hal,0,3/01/10
archive ouverte pluridisciplinaire hal,0,4/01/10
archive ouverte pluridisciplinaire hal,0,5/01/10
archive ouverte pluridisciplinaire hal,0,6/01/10
archive ouverte pluridisciplinaire hal,0,7/01/10
archive ouverte pluridisciplinaire hal,0,8/01/10
archive ouverte pluridisciplinaire hal,0,9/01/10
archive ouverte pluridisciplinaire hal,0,10/01/10
archive ouverte pluridisciplinaire hal,0,11/01/10
archive ouverte pluridisciplinaire hal,0,12/01/10
archive ouverte pluridisciplinaire hal,1,1/01/11
archive ouverte pluridisciplinaire hal,0,2/01/11
archive ouverte pluridisciplinaire hal,0,3/01/11
archive ouverte pluridisciplinaire hal,0,4/01/11
archive ouverte pluridisciplinaire hal,0,5/01/11
archive ouverte pluridisciplinaire hal,0,6/01/11
archive ouverte pluridisciplinaire hal,0,7/01/11
archive ouverte pluridisciplinaire hal,0,8/01/11
archive ouverte pluridisciplinaire hal,0,9/01/11
archive ouverte pluridisciplinaire hal,0,10/01/11
archive ouverte pluridisciplinaire hal,0,11/01/11
archive ouverte pluridisciplinaire hal,1,12/01/11
archive ouverte pluridisciplinaire hal,0,1/01/12
archive ouverte pluridisciplinaire hal,0,2/01/12
archive ouverte pluridisciplinaire hal,0,3/01/12
archive ouverte pluridisciplinaire hal,1,4/01/12
archive ouverte pluridisciplinaire hal,0,5/01/12
archive ouverte pluridisciplinaire hal,0,6/01/12
archive ouverte pluridisciplinaire hal,0,7/01/12
archive ouverte pluridisciplinaire hal,0,8/01/12
archive ouverte pluridisciplinaire hal,0,9/01/12
archive ouverte pluridisciplinaire hal,0,10/01/12
archive ouverte pluridisciplinaire hal,1,11/01/12
archive ouverte pluridisciplinaire hal,4,12/01/12
archive ouverte pluridisciplinaire hal,0,1/01/13
archive ouverte pluridisciplinaire hal,0,2/01/13
archive ouverte pluridisciplinaire hal,0,3/01/13
archive ouverte pluridisciplinaire hal,0,4/01/13
archive ouverte pluridisciplinaire hal,0,5/01/13
archive ouverte pluridisciplinaire hal,0,6/01/13
archive ouverte pluridisciplinaire hal,0,7/01/13
archive ouverte pluridisciplinaire hal,0,8/01/13
archive ouverte pluridisciplinaire hal,0,9/01/13
archive ouverte pluridisciplinaire hal,0,10/01/13
archive ouverte pluridisciplinaire hal,0,11/01/13
archive ouverte pluridisciplinaire hal,2,12/01/13
archive ouverte pluridisciplinaire hal,0,1/01/14
archive ouverte pluridisciplinaire hal,0,2/01/14
archive ouverte pluridisciplinaire hal,0,3/01/14
archive ouverte pluridisciplinaire hal,0,4/01/14
archive ouverte pluridisciplinaire hal,0,5/01/14
archive ouverte pluridisciplinaire hal,0,6/01/14
archive ouverte pluridisciplinaire hal,0,7/01/14
archive ouverte pluridisciplinaire hal,0,8/01/14
archive ouverte pluridisciplinaire hal,0,9/01/14
archive ouverte pluridisciplinaire hal,0,10/01/14
archive ouverte pluridisciplinaire hal,0,11/01/14
archive ouverte pluridisciplinaire hal,3,12/01/14
archive ouverte pluridisciplinaire hal,2,1/01/15
archive ouverte pluridisciplinaire hal,0,2/01/15
archive ouverte pluridisciplinaire hal,0,3/01/15
archive ouverte pluridisciplinaire hal,1,4/01/15
archive ouverte pluridisciplinaire hal,0,5/01/15
archive ouverte pluridisciplinaire hal,1,6/01/15
archive ouverte pluridisciplinaire hal,1,7/01/15
archive ouverte pluridisciplinaire hal,0,8/01/15
archive ouverte pluridisciplinaire hal,0,9/01/15
archive ouverte pluridisciplinaire hal,0,10/01/15
archive ouverte pluridisciplinaire hal,0,11/01/15
archive ouverte pluridisciplinaire hal,6,12/01/15
archive ouverte pluridisciplinaire hal,0,1/01/16
archive ouverte pluridisciplinaire hal,0,2/01/16
